〇	líng,xīng,yuán
㐀	qiū
㐁	tiǎn,tiàn
㐂	xǐ
㐅	wǔ
㐆	yǐn,yī
㐇	jiǔ
㐈	rù
㐉	dīng
㐊	shì
㐋	tǔ
㐌	sì,yí
㐍	zhǎo
㐎	wén
㐏	wǔ
㐐	nú
㐑	dōng
㐒	zhào
㐓	kě
㐔	xiǎng
㐖	yè,xié
㐗	lǎo
㐘	mǐ
㐙	dòu
㐚	wú
㐜	chóu
㐝	jū
㐞	qí
㐟	fēi
㐡	nuò
㐢	fú
㐣	kù
㐤	qiú,dān
㐥	chú
㐦	jǔ
㐨	xù
㐩	xíng
㐫	xiōng
㐬	liú
㐭	lǐn
㐰	xìn
㐱	zhěn
㐲	dài,fú
㐳	wù
㐷	mǎ,mà,mián
㐸	qiàn
㐹	yì
㐺	zhòng,yín
㐻	nèi
㐼	chèng,zhěng
㐾	ruǎn,yuàn
㑀	tài
㑂	fǎng,páng
㑃	ǎo
㑄	wǔ
㑅	zuò
㑇	zhòu
㑈	dòng
㑉	sù
㑊	yì
㑋	jiòng,kǒng,qióng
㑍	lěi,lèi
㑎	nǎo
㑏	zhù
㑑	lǎn,jì
㑔	xǔ
㑗	shēn
㑘	jiè
㑙	dié,yǒng
㑚	nuó
㑛	sù
㑜	yì,chì
㑝	lòng
㑞	yìng
㑟	běng,bó,pěng
㑣	lán
㑤	miáo
㑥	yì
㑦	lì
㑧	jì
㑨	yǔ
㑩	luó
㑪	chái
㑮	hún,wén
㑯	xǔ
㑰	huì
㑱	rǎo
㑳	zhòu
㑵	hàn,jí,jié,zhǎ,zí
㑶	xì
㑷	tài
㑸	ǎi,yáo,yóu
㑹	huì
㑺	jùn
㑻	mà
㑽	táng
㑾	xiáo,yáo
㑿	zhào
㒀	zhǎ,zhāi
㒁	yǔ,yùn
㒂	kù,zhuó
㒃	èr
㒄	nàng,nèn,rǎn
㒅	qǐ
㒆	chì,kè,xì,xiào,yàn
㒇	mù,wǔ
㒈	hàn
㒉	tǎng
㒊	sè
㒌	qióng
㒍	léi,lěi
㒎	sǎ,sà,tàn
㒐	xùn
㒑	huì,kuǐ
㒒	pú
㒓	tà
㒔	shǔ,shú
㒖	ǒu
㒗	tái
㒙	mián
㒚	wěn,yìn
㒛	diào
㒜	yú,yǔ
㒝	miè,wà
㒞	jùn,kě
㒟	niǎo
㒠	xiè
㒡	yóu
㒤	shè,chè
㒦	lěi
㒧	lì
㒩	luǒ
㒫	jì
㒰	quán
㒱	mèng
㒲	cái
㒳	liǎng
㒴	gǔ
㒵	mào
㒷	guǎ,xìng,xǔ
㒸	suì,xuán
㒹	diān
㒻	mào
㒼	mán
㒾	shì
㒿	lí
㓁	wǎng
㓂	kòu
㓃	chuí,dù,zhà
㓄	zhèn
㓈	bèi,bìng,fèi,yè
㓉	huàn,huó,huò
㓊	dòng
㓋	gòng
㓎	qīn,qǐn,qìn
㓏	jiǒng
㓐	lù
㓑	xìng
㓓	nán
㓔	xiè
㓖	bì,bié
㓗	jié,qǐ
㓘	sù
㓜	yòu
㓝	xíng
㓞	qì,qià,yáo
㓟	pí
㓠	diàn
㓡	fǔ,fǒu
㓢	luò
㓣	qià
㓤	jié,qià
㓦	bāi
㓧	yǎn,gān
㓨	cí,cì
㓪	lǎng
㓭	hé,shé
㓯	lí
㓰	huà
㓱	tóu
㓲	piàn,piān
㓴	jùn,ruǎn
㓵	è
㓶	qiè
㓷	yì
㓸	jué,zhuó,zhuō
㓹	ruì
㓺	jiàn,jiān
㓼	chì,chòng
㓽	chóng
㓾	chí,xī
㔀	lüè,qíng
㔂	lín
㔃	jué,pì
㔄	sù
㔅	xiào
㔆	zàn
㔇	pō
㔉	zhú,zhǔ
㔊	dǎn,zhǎn
㔋	jiàn,lán,làn,jiān
㔌	zhòu,zòu
㔍	duǒ,zhá,chuā
㔎	xiè,yì
㔏	lì
㔑	chì,dào,qì,shuì
㔒	xí
㔓	jiǎn,xiàn
㔕	jí,yì
㔖	jiā
㔗	fèi
㔘	chù
㔙	bǎng,péng,bēng
㔚	kǒu,jié
㔛	jié
㔜	bá,bó
㔝	liǎng
㔞	kuài,kuàng,wàng
㔠	hé,jiá,xiā
㔢	jué
㔣	léi,lèi
㔤	shěn,xìn
㔥	pí,bài
㔦	yǎng
㔧	xuè,lǜ
㔨	bèi
㔩	è
㔪	lǔ
㔭	chè,chí,yí
㔮	nuó
㔯	suǎn,xuán
㔰	héng
㔱	yǔ
㔳	guǐ,gùn,huán,jué
㔴	yì
㔵	xiàn,xuǎn
㔶	gòng
㔷	lòu
㔹	lè
㔺	shì
㔻	pī
㔼	sǔn
㔽	yào,yǒu
㔾	jié,xiān
㔿	zòu
㕁	què
㕂	yín
㕄	zhì,zhǐ
㕅	jiǎ,jiá
㕆	hù
㕇	lá,lā
㕈	hòu,yǐ
㕉	kè
㕊	fū
㕋	jìng,qín
㕌	ài
㕎	è,kè,kǔn
㕏	chú
㕐	xiě
㕑	chú
㕒	wéi,wěi,wēi
㕕	huàn
㕖	sù
㕗	yòu
㕘	cān
㕙	jùn,ruì
㕚	zhǎo
㕛	xù,yǒu,yòu
㕜	shǐ
㕞	shuā
㕟	kuì
㕠	shuāng
㕡	hé,hè,huò
㕢	gài,hài,jù,lǔn,nǒu
㕣	yǎn,yàn
㕤	qiú
㕥	yǐ,shēn
㕦	huà
㕧	xī
㕨	fàn
㕩	zhàng,pàng
㕪	dǎn
㕫	fǎng
㕬	sòng,gōng
㕭	ào,bì,āo
㕮	fǔ,tiào
㕯	nè
㕰	hè,xuè
㕱	yóu
㕲	huá,yíng
㕴	chén
㕵	guó,hún,luǒ
㕶	ěn,ěng
㕷	huà
㕸	lì
㕹	fá
㕺	háo,xiāo
㕻	tòu,pǒu
㕽	sì
㕾	xiǎo
㖀	lè,luò
㖁	lìn
㖂	yì
㖃	hǒu,hòu
㖅	xù
㖆	qú,qǔ
㖇	ér
㖏	nèi,niè
㖐	wěi
㖑	xiè
㖒	tí
㖓	hóng
㖔	tǔn
㖕	bò,niè
㖖	niè
㖗	yín
㖜	xiǎng
㖞	wāi
㖟	shòu
㖠	bà,nuò
㖡	yè
㖢	jí,qí
㖣	tòu
㖤	hán
㖥	jiǒng,jùn
㖦	dǒng
㖧	wěn,hūn
㖨	lù
㖩	sǒu,jū
㖪	guó,huò
㖫	líng
㖭	tiǎn
㖮	lún
㖶	yè,yān
㖷	shí,tí
㖸	xué
㖹	fèn,pēn
㖺	chǔn
㖻	róu,niú
㖼	duǒ,lín,móu
㖽	zé,zéi
㖾	è
㖿	xié
㗁	è
㗂	shěng
㗃	wěn,yìn
